Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Pages (O),Year (O),Study Reference (O),Test statistic type (O),Test statistic (O),N (O),Number of individuals (O),P-value (O),Effect size r (O),"Effect size r, 95% CI lower (O)","Effect size r, 95% CI upper (O)","Small-telescopes effect size, 33% power (O)",Test statistic type (R),Test statistic (R),N (R),Number of individuals (R),P-value (R),Effect size r (R),"Effect size r, 95% CI lower (R)","Effect size r, 95% CI upper (R)",Power (R),Replicate (R),Meta-analysis significant,Effect size > small telescope threshold (R),Effect size within prediction interval (R),Replication Bayes factor > 1 (R),Target N for 75% power (R),Target N for 50% power (R)
11,Reading literary fiction improves theory of mind,"Kidd, D. C. & Castano, E.",Science,342,377-380,2013,(46),"F(1,82)",6.4,86,86,0.013326087,0.2690691,0.06065147,0.455005,0.1653,"F(1,710)",-0.527,714,714,0.46811008,-0.027254447,-0.10042592,0.04621026,0.94262993,no,0,0,0,0,263,601
12,The social sense: susceptibility to others' beliefs in human infants and adults,"Kovács, Á. M., Téglás, E. & Endress, A. D.",Science,330,1830-1834,2010,(47),t(23),2.42,24,24,0.023826132,0.45049948,0.05756384,0.72258145,0.3162,t(94),7.0152,95,95,3.4974035e-10,0.586204,0.43619543,0.7045122,0.92331564,yes,1,1,1,1,89,209
13,Washing away postdecisional dissonance,"Lee, S. W. S. & Schwarz, N.",Science,328,709,2010,(48),"F(1,38)",6.74,40,40,0.013330429,0.38813424,0.08716362,0.6241761,0.2434,"F(1,284)",-0.6081,286,286,0.43615347,-0.046322692,-0.1614388,0.070037045,0.9013851,no,0,0,0,0,123,286
14,Thought for food: imagined consumption reduces actual consumption,"Morewedge, C. K., Huh, Y. E. & Vosgerau, J.",Science,330,1530-1533,2010,(49),t(30),2.784,32,32,0.009205938,0.45311347,0.12401335,0.6924083,0.2728,t(87),3.5384,89,89,0.0006485627,0.3546918,0.15811451,0.5242256,0.903686,yes,1,1,1,1,89,211
15,Inequality and visibility of wealth in experimental social networks,"Nishi, A., Shirado, H., Rand, D. G. & Christakis, N. A.",Nature,526,426-429,2015,(50),t(198),2.881,200,366,0.004401038,0.2005827,0.06361194,0.33013633,0.1082,t(478),2.5543,480,792,0.010949132,0.11604169,0.02681978,0.20342937,0.91152465,yes,1,1,1,1,462,1048
16,Why testing improves memory: mediator effectiveness hypothesis,"Pyc, M. A. & Rawson, K. A.",Science,330,335,2010,(51),t(34),2.37,36,36,0.023603488,0.37653738,0.054778013,0.6274534,0.2569,t(304),2.6404,306,306,0.008708439,0.14973016,0.03824874,0.2575302,0.90116566,yes,1,0,1,1,132,306
17,Writing about testing worries boosts exam performance in the classroom,"Ramirez, G. & Beilock, S. L.",Science,331,211-213,2011,(52),"F(1,18)",30.53,20,20,3.0215393e-05,0.7931554,0.5402588,0.91464645,0.3475,"F(1,77)",-0.7352,79,131,0.39386377,-0.09818399,-0.31250995,0.12565431,0.9486367,no,0,0,0,0,25,66
18,Spontaneous giving and calculated greed,"Rand, D. G., Greene, J. D. & Nowak, M. A.",Nature,489,427-430,2012,(53),z,2.617,343,343,0.008870634,0.14098142,0.035617713,0.2432454,0.0826,z,1.1912,2136,2136,0.23357508,0.025786534,-0.016643992,0.068124354,0.9013021,no,1,0,0,0,942,2127
19,Some consequences of having too little,"Shah, A. K., Mullainathan, S. & Shafir, E.",Science,338,682-685,2012,(54),"F(1,54)",4.16,56,56,0.046294663,0.267445,0.00488816,0.4955058,0.2053,"F(1,617)",-0.1389,619,619,0.709505,-0.01500574,-0.09370039,0.06387525,0.90845823,no,0,0,0,0,263,602
20,Google effects on memory: cognitive consequences of having information at our fingertips,"Sparrow, B., Liu, J. & Wegner, D. M.",Science,333,776-778,2011,(55),t(68),3.26,69,69,0.0017421179,0.36764622,0.14344758,0.555951,0.1847,t(233),0.7579,234,234,0.44927672,0.04959059,-0.079158895,0.17671278,0.80730575,no,1,0,0,0,133,308
21,Just think: the challenges of the disengaged mind,"Wilson, T. D. et al.",Science,345,75-77,2014,(56),t(28),4.83,30,30,4.4143864e-05,0.67416495,0.41459227,0.83228743,0.2819,t(37),4.4867,39,39,6.800172e-05,0.5935989,0.3421664,0.76570636,0.9301851,yes,1,1,1,1,36,91
