Paper #,Original paper title,Year,Original paper journal,Number of original authors,OSF project link,Draft protocol shared with original authors date,Budget per paper at project onset when originally identified by RP:CB team,Anticipated budget when Registered Report manuscript ready for submission to eLife,Anticipated budget when Registered Report accepted and published in eLife,Actual budget at completion of replication attempt,Registered Report submission date,Registered Report acceptance date,Link to Registered Report,Experimental work start date,Experimental work end date,Replication study fully completed,"If Replication study incomplete, why?",Replication study submission date,Replication study acceptance date ,Link to Replication study,Did original authors respond to any emails?,Did the original paper have a potential conflict of issue statement?,Did the replication study have a potential conflict of issue statement?,Number of lab(s) contracted for the entire paper,Contracted lab(s) for the entire paper,Notes
21,Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,2011,Science Translational Medicine,8,https://osf.io/hxrmm/,8/18/2014,25000,9181.72,11181.72,11838.11,2/4/2015,4/15/2015,https://elifesciences.org/articles/06847,6/8/2015,9/4/2015,Yes,NA,4/18/2016,7/28/2016,https://elifesciences.org/articles/17044,Yes,Yes,Yes,1,Core4,
22,Selective killing of cancer cells by a small molecule targeting the stress response to ROS,2011,Nature,14,https://osf.io/uvapt/,9/22/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
23,Functional genomics reveal that the serine synthesis pathway is essential in breast cancer,2011,Nature,27,https://osf.io/u1mfn/,10/10/2014,25000,47473.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,2,"Core20,Core21",
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs.,2011,Cell,13,https://osf.io/oblj1/,2/24/2015,25000,33415.68,43110.89,62894.9,11/23/2015,2/4/2016,https://elifesciences.org/articles/12470,3/16/2016,9/6/2018,Partial,Western blot results with the phospho-AKT antibody were inconsistent and largely absent of a signal.,5/26/2020,9/18/2020,https://elifesciences.org/articles/56651,Yes,No,Yes,1,Core9,
25,Oncometabolite 2-Hydroxyglutarate is a competitive inhibitor of α-ketoglutarate-dependent dioxygenases.,2011,Cancer Cell,22,https://osf.io/kvshc/,7/28/2014,25000,39654.11,59003.11,11317.3,3/11/2015,7/9/2015,https://elifesciences.org/articles/07420,3/18/2016,1/31/2018,No,Low transfection rates; errors in plasmids,NA,NA,NA,Yes,No,NA,1,Core10,
26,Oncogene-induced Nrf2 transcription promotes ROS detoxification and tumorigenesis,2011,Nature,17,https://osf.io/i0yka/,12/11/2014,25000,26764.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,1,Core10,
27,BRCA1 tumour suppression occurs via heterochromatin-mediated silencing,2011,Nature,8,https://osf.io/oi7jj/,12/16/2014,25000,35442.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,1,Core22,
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44.,2011,Nature Medicine,15,https://osf.io/gb7sr/,5/9/2014,25000,55088,46909.55,59566.4,1/13/2015,7/10/2015,https://elifesciences.org/articles/06434,9/25/2015,9/24/2018,Yes,NA,11/9/2018,2/25/2019,https://elifesciences.org/articles/43511,Yes,Yes,Yes,1,CRO16,
29,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,2011,Nature,27,https://osf.io/hcqqy/,8/18/2014,25000,59875.98,59875.98,65936.13,6/2/2015,8/4/2015,https://elifesciences.org/articles/08997,9/17/2015,7/18/2016,Yes,NA,1/23/2017,5/22/2017,https://elifesciences.org/articles/25306,Yes,Yes,Yes,2,"Core11,CRO3",
30,CCL2 recruits inflammatory monocytes to facilitate breast-tumour metastasis,2011,Nature,9,https://osf.io/ckpsn/,12/15/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,
31,An extensive microRNA-mediated network of RNA-RNA interactions regulates established oncogenic pathways in glioblastoma,2011,Cell,11,https://osf.io/wcasz/,1/20/2015,25000,29328.54,NA,NA,12/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,1,CRO26,Registered report rejected
32,Normal and neoplastic nonstem cells can spontaneously convert to a stem-like state,2011,PNAS,14,https://osf.io/u6m4z/,8/6/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
33,An endogenous tumour-promoting ligand of the human aryl hydrocarbon receptor,2011,Nature,19,https://osf.io/o2xpf/,8/26/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,
34,Senescence surveillance of pre-malignant hepatocytes limits liver cancer development.,2011,Nature,25,https://osf.io/82nfe/,5/12/2014,25000,36534.17,39391.04,53589.91,7/21/2014,12/14/2014,https://elifesciences.org/articles/04105,12/14/2014,5/22/2017,No,Antibody signal could not be reliably detected,NA,NA,NA,Yes,Yes,NA,2,"Core12,CRO17",
35,A restricted cell population propagates glioblastoma growth after chemotherapy,2012,Nature,7,https://osf.io/egoni/,6/25/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Stopped because unable to obtain necessary reagents (mouse model) from original authors. Replaced by Study 53.
36,Defining the mode of tumour growth by clonal analysis,2012,Nature,5,https://osf.io/znixv/,5/28/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Excluded because of feasibility constraint (mouse model too expensive for project). Replaced by Study 52.
37,Systematic identification of genomic markers of drug sensitivity in cancer cells,2012,Nature,54,https://osf.io/nbryi/,12/1/2014,25000,49042.9,49042.9,53089.3,12/8/2015,5/25/2016,https://elifesciences.org/articles/13620,12/20/2016,5/17/2017,Yes,NA,6/27/2017,12/13/2017,https://elifesciences.org/articles/29747,Yes,Yes,Yes,1,CRO18,
38,Lineage tracing reveals Lgr5+ stem cell activity in mouse intestinal adenomas,2012,Science,7,https://osf.io/1ovqn/,4/21/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,Excluded because of feasibility constraint (mouse model too expensive for project). Replaced by Study 51.
39,The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors,2012,PNAS,44,https://osf.io/9pbos/,4/21/2014,25000,10175.42,10175.42,11697.93,9/3/2014,12/20/2014,https://elifesciences.org/articles/04586,12/20/2014,4/26/2016,Yes,NA,5/25/2016,11/21/2016,https://elifesciences.org/articles/18173,Yes,Yes,Yes,1,CRO6,
40,Tumour micro-environment elicits innate resistance to RAF inhibitors through HGF secretion.,2012,Nature,19,https://osf.io/p4lzc/,2/20/2014,25000,19454,19454,254,7/16/2014,11/17/2014,https://elifesciences.org/articles/04034,3/21/2016,1/10/2017,No,Cells did not propogate and were not regenerated in time to conduct experiments,NA,NA,NA,Yes,Yes,NA,1,Core13,
41,Intestinal inflammation targets cancer-inducing activity of the microbiota.,2012,Science,17,https://osf.io/y4tvd/,4/15/2014,25000,75912,75912,55860.72,7/29/2014,2/12/2015,https://elifesciences.org/articles/04186,3/10/2015,7/21/2017,Partial,"Timeline was longer than original so inflamation, neoplasia, and tumor invasion are not comparable to original",12/15/2017,9/19/2018,https://elifesciences.org/articles/34364,Yes,Yes,Yes,1,Core14,A statement in the acknowledgment section was identified as a COI statement.
42,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET.,2012,Nature Medicine,25,https://osf.io/ewqzf/,7/28/2014,25000,71117.28,75337.42,186545.5,3/9/2015,10/28/2015,https://elifesciences.org/articles/07383,4/14/2016,5/8/2018,Partial,pMET could not be reliabilty detected in exosomes,7/10/2018,12/1/2018,https://elifesciences.org/articles/39944,Yes,Yes,Yes,2,"Core15,CRO19",
43,Interactions between cancer stem cells and their niche govern metastatic colonization.,2012,Nature,7,https://osf.io/vseix/,7/21/2014,25000,67421.05,67421.05,56305.42,2/11/2015,5/22/2015,https://elifesciences.org/articles/06938,5/22/2015,11/30/2017,No,Not enough animals of the appropriate genotypes were generated,NA,NA,NA,Yes,Yes,NA,3,"CRO20,Core16,CRO21",
44,Melanoma genome sequencing reveals frequent PREX2 mutations,2012,Nature,48,https://osf.io/jvpnw/,5/29/2014,25000,25198.39,28068.91,29737.68,7/29/2014,11/11/2014,https://elifesciences.org/articles/04180,11/11/2014,7/6/2016,Yes,NA,9/19/2016,11/21/2016,https://elifesciences.org/articles/21634,Yes,Yes,Yes,3,"CRO6,CRO7,CRO22",
45,Unresponsiveness of colon cancer to BRAF(V600E) inhibition through feedback activation of EGFR,2012,Nature,9,https://osf.io/ecy85/,11/11/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
46,Widespread potential for growth-factor-driven resistance to anticancer kinase inhibitors.,2012,Nature,18,https://osf.io/h0pnz/,5/9/2014,25000,8984,9101,30219,7/16/2014,9/28/2014,https://elifesciences.org/articles/04037,9/15/2016,6/12/2017,No,Viability assay could not be reliably performed; Western blots/drug conditions could not be reliably performed,NA,NA,NA,Yes,Yes,NA,1,Core17,
47,IDH mutation impairs histone demethylation and results in a block to cell differentiation.,2012,Nature,17,https://osf.io/vfsbo/,11/3/2014,25000,34829.41,34829.41,46344.04,8/18/2015,2/15/2016,https://elifesciences.org/articles/10860,2/15/2016,10/26/2017,Partial,Differentation did not occur during experimentation despite occurring during pilot; knockdown was not reliable,NA,NA,https://elifesciences.org/articles/73430,No,Yes,NA,1,"Core18,Core22",Results included in 'Experiments from unfinished Registered Reports in the Reproducibility Project: Cancer Biology'
48,Transcriptional amplification in tumor cells with elevated c-Myc,2012,Cell,8,https://osf.io/mokeb/,2/21/2014,25000,48317.5,49877.5,50877.5,7/16/2014,12/14/2014,https://elifesciences.org/articles/04024,12/14/2014,4/9/2017,Yes,NA,7/10/2017,11/16/2017,https://elifesciences.org/articles/30274,Yes,Yes,Yes,2,"Core13,Core19",A statement in the acknowledgment section was identified as a COI statement.
49,Sequential application of anticancer drugs enhances cell death by rewiring apoptotic signaling networks,2012,Cell,7,https://osf.io/i25y8/,10/28/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,A statement in the acknowledgment section was identified as a COI statement.
50,Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma,2012,Genome Research,11,https://osf.io/v4se2/,1/21/2015,25000,33650,55750,57200,7/13/2015,11/30/2015,https://elifesciences.org/articles/10012,12/21/2015,1/5/2017,Yes,NA,2/8/2017,1/26/2018,https://elifesciences.org/articles/25801,Yes,No,Yes,2,"CRO23,CRO24",
51,DNA breaks and chromosome pulverization from errors in mitosis,2012,Nature,10,https://osf.io/47xy6/,11/17/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,replaced Study 38
52,A microRNA regulon that mediates endothelial recruitment and metastasis by cancer cells,2012,Nature,4,https://osf.io/tkzme/,10/22/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,replaced Study 36
53,Reductive glutamine metabolism by IDH1 mediates lipogenesis under hypoxia,2012,Nature,14,https://osf.io/isdbh/,2/13/2015,25000,17659.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,1,Core18,replaced Study 35
54,Somatic mutations altering EZH2 (Tyr641) in follicular and diffuse large B-cell lymphomas of germinal-center origin,2010,Nature Genetics,38,https://osf.io/6kuy8/,2/19/2015,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,replaced Study 13
