Paper #,Experiment #,Original paper figure,Was experiment originally identified by RP:CB team,Did experiment continue after sharing with labs (before submitting protocol to eLife),Did the experiment protocol get submitted to eLife,Did the experiment protocol get accepted and published in eLife,Clarifications asked of original authors,Quality of response from original authors,Data shared by original authors,Code shared by original authors,Key materials asked to be shared,Key materials offered to be shared,Key materials shared,Type of experiment,What types of experimental techniques were utilized?,What category of experimental techniques were utilized?,Number of lab(s) contracted for the experiment,Lab(s) contracted for the experiment,Registered Report protocol,Experiment description,Original sample number (reported),Replication sample number (power),Replication sample number (reported),Replication experiment attempted,Replication experiment completed,"If experiment incomplete, why?",Changes needed during experimentation?,"If modifications were needed for experiment to proceed, what were they?",Changes able to be implemented during experimentation?,"If modifications unable to be fully implemented, why?",Replication study figure,Were materials shippped between replicating labs?,"If a material was shipped between replicating labs, what was it?",Was the original experiment blinded?,Was the replication experiment blinded?,Was the original experiment randomized?,Was the replication experiment randomized?,Was the original experiment sample size determined a priori?,Was the replication experiment sample size determined a priori?,Was a statistical test reported in the original paper?,What statistical test(s) was reported?,Was variation of biological repeats reported in the original experiment?,Notes
2,4,"1B(lower),4B(upper)",Yes,Yes,Yes,Yes,3,1,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,flow cytometry","cell,immuno",1,CRO4,"1,2,5",Cell cycle analysis of drug-naive PC9 cells and erlotinib-resistant DTPs,3,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
2,5,"5A,5B",Yes,Yes,Yes,Yes,2,2,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,microscopy (bright-field)","cell,immuno",1,CRO4,"1,6","Colony number of drug-naive PC9 cells treated with erlotinib, erlotinib + TSA, or erlotinib + AEW541",3,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
2,6,7A,Yes,Yes,Yes,Yes,3,1,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",1,CRO4,"1,2,7",pIGF-1R and IGFBP3 levels in drug-naive PC9 cells and erlotinib-resistant DTPs,unknown,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
2,7,7C,Yes,Yes,Yes,Yes,3,1,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",1,CRO4,"1,2,8",pIGF-1R levels in erlotinib-resistant DTPs treated with vehicle or AEW541,unknown,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
2,8,7I,Yes,Yes,Yes,Yes,3,1,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",1,CRO4,"1,2,9",KDM5A levels in erlotinib-resistant DTPs treated with vehicle or AEW541,unknown,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
3,1,"2C,S4(left)",Yes,No,No,No,4,4,2,2,"Cells,Plasmids",Plasmids,NA,Animal,"viral transduction,cell culture,animal care,animal injection (cells, mammary fat pads,luciferin,IP),IVIS,RNA extraction,qRT-PCR","cell,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
3,2,"4A,4B",Yes,No,No,No,5,4,1,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,Western blot assay,invasion assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
4,1,"3A,3B",Yes,No,No,No,3,0,0,0,Plasmids,No,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay,metabolite extraction,GC-MS","cell,immuno,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
4,2,"3C,S4A",Yes,No,No,No,3,0,0,0,Plasmids,No,NA,Cell-based,"transfection (plasmid),cell culture,immunofluorescence,microscopy (fluorescence)","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,methods state Student’s t test was used for analysis of fluorescence intensities
4,3,5B,Yes,No,No,No,3,0,0,0,Plasmids,No,NA,Cell-based,"transfection (plasmid),cell culture,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
4,4,"S6A,S6B",Yes,No,No,No,3,0,0,0,Plasmids,No,NA,Animal,"viral transduction,cell culture,animal care,cell isolation,FACS,RNA extraction,qRT-PCR","cell,immuno,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
4,5,7B,Yes,No,No,No,4,0,0,0,Plasmids,No,NA,Animal,"viral transduction,cell culture,animal care,cell isolation,FACS,flow cytometry","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
4,6,7C,Yes,No,No,No,4,0,0,0,Plasmids,No,NA,Animal,"viral transduction,cell culture,animal care,cell isolation,FACS,flow cytometry","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
5,1,S11C,Yes,Yes,Yes,Yes,2,5,2,0,Cells,Cells,Cells,Cell-based,"cell isolation,cell culture,RNA extraction,RT-PCR","cell,molecular",1,CRO6,1,"Tie2 expression in GSC83, U87MG, and HVEC cells",2,3,3,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
5,2,"4B,S10B,S10C,S10D",Yes,Yes,Yes,Yes,3,5,2,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Animal,"viral transduction,cell culture,FACS,animal care,animal injection (cells, drug, SC,IP),tissue harvesting,immunohistochemistry","cell,immuno,animal",2,"CRO6,CRO7","2,3",Tumor size in GSC83 and U87MG cells after selective targeting of cells expressing Tie2,22,40,NA,Yes,No,Expression of reporter cells at 80% or greater could not be reliably generated,3,Transduction efficiency needed to be optimized because of low transduction efficiency of cells with constucts - tried optimization of conditions and eventually obtained new constructs from original authors,2,Expression of GFP reporter could not be reliably obtained at 80% or higher for all cell populations; Time/budget constraint prevented further optimization,NA,Yes,Cells,No,NA,No,NA,No,Yes,Yes,Student's t test,Yes,methods state Student's t test was used to analyze data without specifics
5,3,4A,Yes,No,No,No,3,5,0,0,"Cells,Plasmids","Cells,Plasmids",NA,Animal,"viral transduction,cell culture,FACS,animal care,animal injection (cells, drug, SC,IP),tissue harvesting,immunohistochemistry","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
6,1,"3D,3E,3F",Yes,Yes,Yes,Yes,3,0,2,0,Plasmids,No,No,Cell-based,"viral transduction,cell culture,FACS,Western blot assay,soft agar assay,microscopy (bright-field)","cell,immuno",1,CRO8,"1,2,3",Anchorage-independent colony formation in HMEC cells expressing wild-type GNAO1 or GNAO1-R243H mutant,2,3,3,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
6,2,"4C,4D,4E",Yes,Yes,Yes,Yes,3,0,2,0,Plasmids,No,No,Cell-based,"viral transduction,cell culture,FACS,Western blot assay,soft agar assay,microscopy (bright-field)","cell,immuno",1,CRO8,"1,4,5","Anchorage-independent colony formation in NIH3T3 cells expressing wild-type MAP2K4, MAP2K4-R228K, or MAP2K4-A279T",2,3,NA,Yes,No,Colonies could not be reliably detected,5,"Colony formation assay needed to be optimized because colonies did not form and cell growth was present in all conditions, including negative controls; Additional positive control (hRAS-V12) included as additional control",3,Time/budget constraint prevented further optimization to identify conditions for colony formation assay,NA,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
6,3,"4E,4F",Yes,Yes,Yes,Yes,2,0,0,0,Plasmids,No,No,Cell-based,"viral transduction,cell culture,FACS,Western blot assay,enzyme assay (kinase)","cell,immuno,molecular",2,"CRO8,Core2","1,4,6","Kinase activity of immunoprecipitated wild-type MAP2K4, MAP2K4-R228K, or MAP2K4-A279T",unknown,4,NA,Yes,No,Inefficiency of IP and/or expression,5,IP conditions needed to be optimized because of no difference in signal between negative and positive controls - possible reason low expression and/or IP of kinases,2,Time/budget constraint prevented further optimization of expression and/or IP conditions,NA,Yes,Cell lysate,No,NA,No,NA,No,Yes,No,NA,No,
7,1,1A,Yes,Yes,Yes,Yes,2,5,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",1,CRO9,1,pERK activation of A375 and DO4 cells following treatment with RAF inhibitors,unknown,3,3,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,No,
7,2,1B,Yes,Yes,Yes,Yes,1,4,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,Western blot assay","cell,immuno",1,CRO9,2,pERK and pMEK activation of DO4 cells depleted of NRAS or CRAF with or without SB590885,unknown,4,NA,Yes,No,Incomplete western blot analysis,2,Western blot conditions needed to be optimized for detecting pMEK and pERK,0,Time/budget constraint prevented further optimization of Western blot conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
7,3,3A,Yes,Yes,Yes,Yes,2,4,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,immunoprecipitation,Western blot assay","cell,immuno",1,CRO9,3,BRAF interaction with wild-type CRAF or CRAF-R89L with or without SB590885,unknown,3,NA,Yes,No,Inefficiency of IP and/or transfection,2,Transfection and/or IP conditions needed to be optimized for detecting IPed material,0,Time/budget constraint prevented further optimization of transfection and/or IP conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
7,4,3B,No,No,No,Yes,2,4,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,immunoprecipitation,Western blot assay","cell,immuno",1,CRO9,4,CRAF interaction with wild-type BRAF or BRAF-R188L with or without SB590885,unknown,3,NA,Yes,No,Inefficiency of IP and/or transfection,2,Transfection and/or IP conditions needed to be optimized for detecting IPed material,0,Time/budget constraint prevented further optimization of transfection and/or IP conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
7,5,4D,Yes,Yes,Yes,Yes,2,4,0,0,Plasmids,Plasmids,Plasmids,Cell-based,"transfection (plasmid),cell culture,immunoprecipitation,Western blot assay","cell,immuno",1,CRO9,5,CRAF interaction with wild-type BRAF or BRAF-D594A,unknown,3,NA,Yes,No,Inefficiency of IP and/or transfection,2,Transfection and/or IP conditions needed to be optimized for detecting IPed material,0,Time/budget constraint prevented further optimization of transfection and/or IP conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
7,6,4E,Yes,No,No,No,2,4,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
7,7,4H,Yes,No,No,No,2,4,0,0,Plasmids,Plasmids,NA,Cell-based,"transfection (plasmid),cell culture,immunoprecipitation,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
7,8,"5C,6B,6C,6D,6E",Yes,No,No,No,2,4,0,0,Organisms,Organisms,NA,Animal,"animal care,tissue harvesting,genomic DNA extraction,qPCR,sequencing,cell isolation,immunoprecipitation,Western blot assay","cell,immuno,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
8,1,1A,Yes,Yes,Yes,Yes,2,4,0,0,NA,NA,NA,Cell-based,"cell culture,cell proliferation/viability assay (Cell Titer Glo)",cell,1,CRO9,1,"Cellular dose response curves for RAF and MEK inhibitors in BRAF(V600E), mutant RAS, and wild-type RAF/RAS cell lines",unknown,4,4,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,Yes,Varation across multiple cell lines reported
8,2,2B,Yes,Yes,Yes,Yes,3,4,0,0,Cells,Cells,Cells,Cell-based,"cell culture,Western blot assay","cell,immuno",1,Core1,2,MEK phosphorylation when BRAF or CRAF are depleted in non-BRAF(V600E) cells treated with a RAF inhibitor,unknown,7,7,Yes,Yes,NA,0,NA,6,NA,NA,No,NA,No,No,No,No,No,Yes,No,NA,No,
8,3,4A,No,No,No,Yes,1,3,0,0,NA,NA,NA,Recombinant,"preparation of recombinant protein,immunoprecipitation,Western blot assay","immuno,molecular",2,"CRO10,Core3",3,Biochemical dimerization assay with recombinant RAF proteins in the presence or absence of RAF inhibitors,unknown,6,NA,Yes,No,Inefficiency of IP,5,IP conditions needed to be optimized for detecting IPed material,4,Time/budget constraint prevented further optimization of IP conditions,NA,Yes,Purified protein,No,No,No,No,No,Yes,No,NA,No,
8,4,2A,Yes,Yes,Yes,No,3,4,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
9,1,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,"viral transduction,cell culture,cell isolation,FACS,flow cytometry","cell,immuno",2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,unknown,3,3,Yes,Yes,NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,1,Yes,Cells,No,No,No,No,No,Yes,No,NA,No,
9,2,6D,Yes,Yes,Yes,Yes,3,3,0,3,Cells,Cells,Cells,Cell-based,"viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3",Clonogenicity of TOP-GFP CSC cultures,18,18,18,Yes,Yes,NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,2,Yes,Cells,No,Yes,No,No,No,Yes,Yes,Chi-square test,Yes,"Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies."
9,3,7E,Yes,Yes,Yes,Yes,3,3,3,0,Cells,Cells,Cells,Animal,"viral transduction,cell culture,cell isolation,FACS,animal care,animal injection (cells, SC,IP)","cell,immuno,animal",3,"CRO11,CRO12,CRO13","1,4",Tumorigenicity of TOP-GFP CSC culture,66,48,48,Yes,Yes,NA,0,NA,6,NA,Table1,Yes,Cells,No,Yes,No,Yes,No,Yes,No,NA,Yes,
9,4,6C,Yes,No,No,No,2,3,0,0,NA,NA,NA,Cell-based,"viral transduction,cell culture,cell isolation,FACS,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
10,1,"5A,5B",Yes,Yes,Yes,No,3,4,2,0,"Cells,Plasmids","Cells,Plasmids",NA,Animal,"viral transduction,cell culture,animal care,animal injection (cells, intracranially),tissue harvesting,immunohistochemistry","cell,animal",2,"Core7,Core8",NA,NA,17,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
10,2,S8A,No,Yes,Yes,No,3,4,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core7,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
10,3,"5H,S9,TableS13",No,Yes,Yes,No,1,3,3,0,NA,NA,NA,Patient Samples,immunohistochemistry,immuno,2,"Core7,Core8",NA,NA,62,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Log-rank Mantel-Cox test,Yes,Stated in results text describing results
10,4,"3A,S7A,S7C,S7D",Yes,No,No,No,3,5,0,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,Western blot assay,immunofluorescence,microscopy (confocal)","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
10,5,3B,Yes,No,No,No,1,5,2,2,NA,NA,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
10,6,"3I,S7H",Yes,No,No,No,3,5,2,2,NA,NA,NA,Cell-based,"animal care,tissue harvesting,viral transduction,cell culture,cell isolation,microscopy (fluorescence),RNA extraction,qRT-PCR","cell,immuno,animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
10,7,4E,Yes,No,No,No,3,4,2,0,Cells,Cells,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
10,8,"5C,5D,5E",Yes,No,No,No,3,4,2,2,Cells,Cells,NA,Animal,"viral transduction,cell culture,animal care,animal injection (cells, intracranially),tissue harvesting,immunohistochemistry","cell,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Welch's t test,Yes,
11,1,"S1,S2A,S3A",Yes,No,No,No,4,0,0,0,Cells,No,NA,Cell-based,"cell isolation,cell culture,cell proliferation/viability assay (Cell Titer 96 Acqueous One),microscopy (bright-field),genomic DNA extraction,RT-PCR,sequencing","cell,immuno,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
11,2,"2A(left),S10C",Yes,No,No,No,4,0,0,0,Cells,No,NA,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
11,3,3B,Yes,No,No,No,3,0,0,0,Cells,No,NA,Cell-based,"cell isolation,cell culture,immunoprecipitation,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
11,4,1A,Yes,No,No,No,4,0,0,0,Cells,No,NA,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
11,5,"4C(top),S22(top)",Yes,No,No,No,3,0,0,0,Cells,No,NA,Cell-based,"cell isolation,cell culture,cell proliferation/viability assay (Cell Titer 96 Acqueous One)",cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
