Paper #,Study Title (O),dir,Experiment #,Effect #,Description of effect (O),Replicate (R),n_internal_reps,frac_internal_reps_positive
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,1,2,Linear regression slopes of isocitrate-dependent NADPH production assay of R172K mutant IDH2 vs vector control,no,1,0.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,1,3,Linear regression slopes of alpha-ketoglutarate-dependent NADPH consumption assay of wild-type IDH2 vs vector control,no,1,0.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,1,4,Linear regression slopes of alpha-ketoglutarate-dependent NADPH consumption assay of R172K mutant IDH2 vs vector control,yes,1,1.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,2,1,2HG levels of R172K mutant IDH2 vs largest value observed in control/WT IDH2 cells,yes,1,1.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,3,1,2HG levels of R132C mutant IDH1 vs largest value observed in WT IDH,yes,1,1.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,3,2,2HG levels of R172K mutant IDH2 vs largest value observed in WT IDH,yes,1,1.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,3,3,2HG levels of R132C mutant IDH1 or R172K mutant IDH2 vs largest value observed in WT IDH,yes,1,1.0
19,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,Paper 19 - BET bromodomain inhibition as a therapeutic strategy to target cMyc,1,1,Relative MYC expression of MM.1S cells harvested 1 hr after (+)-JQ1 treatment vs cells 0 hr after (+)-JQ1 treatment,yes,1,1.0
19,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,Paper 19 - BET bromodomain inhibition as a therapeutic strategy to target cMyc,1,2,Relative MYC expression of MM.1S cells harvested 8 hr after (+)-JQ1 treatment vs cells 0 hr after (+)-JQ1 treatment,yes,1,1.0
19,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,Paper 19 - BET bromodomain inhibition as a therapeutic strategy to target cMyc,2,1,Overall survival of (+)-JQ1 vs vehicle control,yes,1,1.0
19,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,Paper 19 - BET bromodomain inhibition as a therapeutic strategy to target cMyc,2,2,Bioluminescence (tumor burden) of (+)-JQ1 vs vehicle control,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,1,1,Primary tumor growth between LM-4175 with or without Cav1 WT or Cav1 KO pMEFs,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,1,2,Total metastatic foci per mouse of LM-4175 vs LM-4175 + Cav1 WT,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,1,3,Total metastatic foci per mouse of LM-4175 vs LM-4175 + Cav1 KO,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,1,4,Total metastatic foci per mouse of LM-4175 + Cav1 WT vs LM-4175 + Cav1 KO,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,2,1,Percent of fibronectin fibers within +/- 20 degrees from LM-4175 vs LM-4175 + Cav1 WT,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,2,2,Percent of fibronectin fibers within +/- 20 degrees from LM-4175 + Cav1 WT vs LM-4175 + Cav1 KO,no,1,0.0
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis,Paper 20 - Biomechanical remodeling of the microenvironment by stromal caveolin1 favors tumor invasion and metastasis,2,3,Correlation of percent of fibronectin fibers within +/- 20 degrees and number of metastasis,no,1,0.0
21,Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,Paper 21 - Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,1,1,Relative tumor volume of A549 xenografts treated with cimetidine vs vehicle,yes,1,1.0
21,Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,Paper 21 - Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,1,2,Relative tumor volume of A549 xenografts treated with DOX vs vehicle,yes,1,1.0
21,Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,Paper 21 - Discovery and Preclinical Validation of Drug Indications Using Compendia of Public Gene Expression Data,1,3,Relative tumor volume of ACHN xenografts treated with cimetidine vs vehicle,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,1,1,PTEN-3'UTR luciferase reporter activity of siNC vs siSERINC1,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,1,2,PTEN-3'UTR luciferase reporter activity of siNC vs siZNF460,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,1,3,PTEN-3'UTR luciferase reporter activity of siNC vs siVAPA,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,1,4,PTEN-3'UTR luciferase reporter activity of siNC vs siCNOT6L,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,1,5,PTEN-3'UTR luciferase reporter activity of siNC vs siPTEN,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,1,PTEN-3'UTR luciferase reporter activity of EV vs SERINC1-3'UTR,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,2,PTEN-3'UTR luciferase reporter activity of EV vs VAPA-3'UTR1,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,3,PTEN-3'UTR luciferase reporter activity of EV vs VAPA-3'UTR2,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,4,PTEN-3'UTR luciferase reporter activity of EV vs CNOT6L-3'UTR1,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,5,PTEN-3'UTR luciferase reporter activity of EV vs CNOT6L-3'UTR2,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,2,6,PTEN-3'UTR luciferase reporter activity of EV vs PTEN-3'UTR,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,1,PTEN expression of siNC vs siSERINC1 in wild-type HCT116 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,2,PTEN expression of siNC vs siVAPA in wild-type HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,3,PTEN expression of siNC vs siCNOT6L in wild-type HCT116 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,4,PTEN expression of siNC vs siPTEN in wild-type HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,5,PTEN expression of siNC vs siSERINC1 in Dicer-Ex5 HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,6,PTEN expression of siNC vs siVAPA in Dicer-Ex5 HCT116 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,7,PTEN expression of siNC vs siCNOT6L in Dicer-Ex5 HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,3,8,PTEN expression of siNC vs siPTEN in Dicer-Ex5 HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,1,cell proliferation of siNC vs siVAPA in wild-type HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,2,cell proliferation of siNC vs siCNOT6L in wild-type HCT116 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,3,cell proliferation of siNC vs siPTEN in wild-type HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,4,cell proliferation of siPTEN vs siVAPA in Dicer-Ex5 HCT116 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,5,cell proliferation of siPTEN vs siCNOT6L in Dicer-Ex5 HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,6,cell proliferation of siNC vs siPTEN in Dicer-Ex5 HCT116 cells,yes,1,1.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,7,cell proliferation of siNC vs siVAPA in DU145 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,8,cell proliferation of siNC vs siCNOT6L in DU145 cells,no,1,0.0
24,Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Paper 24 - Codingindependent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,4,9,cell proliferation of siNC vs siPTEN in DU145 cells,yes,1,1.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,1,1,let-7b expression in CD44+ cells relative to CD44- cells,yes,1,1.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,1,2,miR-34a expression in CD44+ cells relative to CD44- cells,no,1,0.0
28,The microRNA miR-34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,Paper 28 - The microRNA miR34a inhibits prostate cancer stem cells and metastasis by directly repressing CD44,2,1,Tumor weights of LAPC4 cells expressing miR-34a vs negative control,no,1,0.0
